Wall clock time taken
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,20,False

Seeds:,1599067393.991065,1599070938.9777029,1599074558.110322,1599078103.512491,1599082266.5641952,1599086213.044126,1599090119.5699599,1599093846.979878,1599097571.880667,1599101298.415017


Column names:
BindsNet (in sec),BindsNET_QA (in sec),BindsNET_Bad_Zero (in sec),BindsNET_Bad_Ones (in sec)

45.98436617851257,3458.0693051815033,16.142055988311768,24.790075302124023
42.812166929244995,3535.461669921875,16.142399072647095,24.7149019241333
45.98026490211487,3458.103292942047,16.230019092559814,25.086926221847534
43.082602977752686,4061.5235760211945,26.15001392364502,32.29398703575134
49.8992018699646,3847.419529914856,20.97312307357788,28.186693906784058
52.39433193206787,3807.8643379211426,18.475590229034424,27.78993797302246
49.01149010658264,3635.39542388916,17.032378911972046,25.969336986541748
45.32279109954834,3636.524235010147,16.92977476119995,26.122639179229736
45.261200189590454,3638.1509029865265,17.02123999595642,26.099783182144165
45.58054566383362,3631.5495989322662,16.980308055877686,26.2223379611969

Averages:
45.78040528297424,3635.9598294496536,17.000774025917053,26.11121118068695
Standard deviations:
2.8666189712085477,177.9019813545026,2.986166542379949,2.1524249490702094



