Wall clock time taken
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,30,200,10000,1,22.5,22.5,10,1.0,128,5,True,False,50,False


Column names:
BindsNet (in sec),BindsNET_QA (in sec)

3.1231589317321777,4339.2610449790955
3.291013240814209,4322.118772983551
2.9512321949005127,4345.723228931427
2.9973220825195312,5117.093700170517
2.7834198474884033,4148.761197805405
2.6926112174987793,4422.815955877304
3.2259361743927,4400.377154111862
2.808444023132324,4476.987368106842
2.8031179904937744,4224.10288977623
2.5539252758026123,4106.521073102951

Averages:
2.8798381090164185,4342.492136955261
Standard deviations:
0.22580102408632435,266.9524780975821



