Wall clock time taken
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599170706.1391108,1599172740.983608,1599174738.2925792,1599176735.177,1599178734.6682692,1599180734.565988,1599182732.2416608,1599184743.4421902,1599186748.933121,1599188752.0573618,1599272038.521406,1599274042.9903848,1599276058.631976,1599278068.7083561,1599280080.207703,1599282083.167899,1599284085.1632462,1599286096.499784,1599288123.668582,1599290142.332808,1599251959.752936,1599253971.142197,1599255976.601225,1599257978.731039,1599259978.58759,1599261977.998136,1599263992.815735,1599266012.624615,1599268027.267453,1599270035.488887,1599190771.643894,1599192763.399526,1599194762.83829,1599196752.834444,1599198749.548803,1599200741.287054,1599202747.8496609,1599204756.679546,1599206844.270945,1599208989.977986,1599507746.646116,1599509747.6735191,1599511740.49652,1599513736.7377899,1599515735.8844118,1599517735.0818439,1599519738.629875,1599521742.248159,1599523741.40192,1599525751.814591,1599337541.926382,1599339555.6718779,1599341552.685809,1599343543.820796,1599345543.420504,1599347546.1987689,1599349545.912089,1599351544.189676,1599353556.072321,1599355562.684777,1599125533.427742,1599127761.224493,1599129915.720041,1599132071.7531798,1599134168.901333,1599136257.4555452,1599138375.682744,1599140568.474838,1599142726.161002,1599144886.906262,1599427008.880705,1599429022.53724,1599431032.7350242,1599433052.841654,1599435061.020651,1599437064.017441,1599439076.553845,1599441083.0311759,1599443094.452119,1599445118.4677608,1599447149.026586,1599449149.6084979,1599451150.103177,1599453143.9840589,1599455140.071724,1599457143.822239,1599459154.546634,1599461151.996463,1599463158.418253,1599465555.8613608,1599357565.701822,1599359552.74127,1599361544.860681,1599363537.668571,1599365532.910236,1599367523.538578,1599369517.309419,1599371508.5268228,1599373585.9983401,1599375727.499192


Column names:
BindsNet (in sec),BindsNET_QA (in sec),BindsNET_Bad_Zero (in sec),BindsNET_Bad_Ones (in sec)

45.70711612701416,1948.7719748020172,16.003035068511963,24.361688137054443
42.108359813690186,1914.8709270954132,15.962628841400146,24.365647077560425
42.10427808761597,1914.1993448734283,15.934502840042114,24.644680976867676
42.1742217540741,1916.783498764038,16.200723886489868,24.331601858139038
42.4192419052124,1917.1756939888,15.996957302093506,24.30432105064392
42.07797694206238,1915.4320230484009,15.931439876556396,24.232941150665283
42.19905710220337,1928.7741179466248,15.944975137710571,24.280882835388184
42.05422496795654,1923.1096022129059,16.051918029785156,24.273940086364746
42.21429991722107,1920.4191331863403,15.998390913009644,24.49098491668701
42.65005278587341,1930.4006650447845,15.937586784362793,24.230767011642456
41.68197512626648,1921.666839838028,16.169448137283325,24.949930906295776
42.43999624252319,1932.0685560703278,16.230979204177856,24.90047812461853
42.30823588371277,1926.6697311401367,16.32294988632202,24.773724794387817
42.22724103927612,1928.7770411968231,16.192981004714966,24.300694942474365
41.885952949523926,1920.4225358963013,16.3075053691864,24.343053817749023
42.206830739974976,1919.2324707508087,16.202372789382935,24.352381944656372
43.47763991355896,1927.3299610614777,16.065076112747192,24.462707996368408
42.059118032455444,1944.0389490127563,16.185801029205322,24.883755922317505
42.38181018829346,1934.6702179908752,16.369635820388794,25.241393327713013
42.099231004714966,1941.3341948986053,16.727252960205078,25.435654878616333
45.057929039001465,1925.586088180542,15.915546178817749,24.828712940216064
42.47962498664856,1922.4089007377625,16.181690216064453,24.38740301132202
42.62725877761841,1918.4825541973114,16.185638189315796,24.832788944244385
42.765899658203125,1916.2227199077606,16.099353790283203,24.767343997955322
42.523524045944214,1916.531061887741,16.09539008140564,24.259355306625366
42.811201095581055,1931.547888994217,16.09583306312561,24.36130428314209
42.58617186546326,1936.4170188903809,16.226657152175903,24.57771897315979
42.92226314544678,1930.616781949997,16.185752153396606,24.91661787033081
42.561763048172,1924.6688249111176,16.24852991104126,24.74084782600403
42.69037389755249,1913.0007960796356,16.168354034423828,24.734291076660156
