Wall clock time taken
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,20,200,10000,1,22.5,22.5,20,1.0,256.0,5,True,False,1,False


Column names:
BindsNet (in sec),BindsNET_QA (in sec)

7.610414981842041,2659.1361072063446
4.678559064865112,2539.108142852783
4.58904504776001,2540.2358462810516
4.588247776031494,2541.135799884796
4.618262052536011,2543.2566468715668
4.595615863800049,2541.865519762039
4.5919411182403564,2547.9745938777924
4.597259998321533,2539.151489019394
4.612481117248535,2538.591166973114
4.6205949783325195,2548.812397003174

Averages:
4.910242199897766,2553.9267709732057
Standard deviations:
0.9004182859739122,35.23357319314324



