Wall clock time taken
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,30,200,10000,1,22.5,11.25,20,1.0,128,5,True,False,1,False


Column names:
BindsNet (in sec),BindsNET_QA (in sec)

5.262588739395142,3775.1258869171143
4.981014966964722,4009.2980768680573
6.29266881942749,4014.5832118988037
5.6087422370910645,4105.213349103928
5.19912576675415,4107.4247789382935
5.570874214172363,3921.8046159744263
4.967717170715332,4076.6477131843567
6.431159019470215,3982.052990913391
4.911661863327026,3753.339345216751
4.986898183822632,3751.800190925598

Averages:
5.230857253074646,3995.675533890724
Standard deviations:
0.5252790479423518,135.263377772785



