Wall clock time taken
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,20,200,10000,1,22.5,22.5,40,1.0,128,5,True,False,1,False


Column names:
BindsNet (in sec),BindsNET_QA (in sec)

10.427727937698364,5399.95605301857
9.184089183807373,6653.837352991104
9.183619976043701,5232.963174819946
9.601675033569336,5792.437884092331
9.141281127929688,5285.647929191589
10.085119009017944,5379.8383321762085
10.472421884536743,6546.435206890106
12.18635892868042,5142.968741893768
9.171594142913818,5080.94438123703
9.111518144607544,5082.86279296875

Averages:
9.392882108688354,5332.743130683899
Standard deviations:
0.9322897626731391,556.3205194365082



