Wall clock time taken
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,20,100,10000,1,22.5,22.5,20,1.0,128,5,True,False,20,False


Column names:
BindsNet (in sec),BindsNET_QA (in sec)

2.717928171157837,2250.0158429145813
2.5021800994873047,2270.832550048828
2.5525472164154053,2183.195153951645
2.5436110496520996,2260.435751914978
2.8824477195739746,2317.860955953598
2.906451940536499,2242.2108991146088
2.464367151260376,2171.6467838287354
2.478693962097168,2217.2589259147644
3.3732688426971436,2239.7430408000946
3.5905232429504395,2256.1266939640045

Averages:
2.635237693786621,2246.113371014595
Standard deviations:
0.3754952716762985,40.25338076929257



