Wall clock time taken
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597651941.4120698,1597653526.1150331,1597655024.469524,1597656644.035724,1597658109.7472599,1597659604.6603572,1597661087.615366,1597662503.808356,1597663920.3950698,1597665326.868704


Column names:
BindsNet (in sec),BindsNET_QA (in sec),BindsNET_Bad_Zero (in sec),BindsNET_Bad_Ones (in sec)

67.33436584472656,1466.9006237983704,20.91171908378601,29.555434942245483
51.390763998031616,1386.2149000167847,24.2913761138916,36.45585012435913
61.29557514190674,1493.6490740776062,25.841421842575073,38.77866888046265
62.992390871047974,1346.3792641162872,22.34232997894287,33.99540710449219
50.919025897979736,1387.7653317451477,23.121481895446777,33.10422897338867
53.61642909049988,1377.3659436702728,21.804424047470093,30.164809942245483
50.703540086746216,1314.7179992198944,20.914923191070557,29.85487675666809
49.475624322891235,1315.4913048744202,21.17187523841858,30.445970058441162
50.54843282699585,1304.1563959121704,21.663245916366577,30.103832006454468
57.466655015945435,1528.6098020076752,22.29691481590271,34.56721496582031

Averages:
52.50359654426575,1381.7904218435287,22.0506694316864,31.775099515914917
Standard deviations:
5.990204625270309,75.16256588136638,1.5089227307086266,3.0432790254258486



