Wall clock time taken
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,30,200,10000,1,45.0,22.5,20,1.0,128,5,True,False,1,False


Column names:
BindsNet (in sec),BindsNET_QA (in sec)

5.100115776062012,3903.31263589859
4.761872291564941,3912.62256526947
4.839432001113892,3913.9323201179504
4.747786045074463,3910.73428106308
4.763823986053467,3912.8926038742065
4.781108140945435,3914.494386911392
4.815141201019287,3999.6596219539642
5.164563894271851,3923.6842648983
4.856304168701172,4011.689781665802
5.320116996765137,3990.4822721481323

Averages:
4.827286601066589,3914.2133535146713
Standard deviations:
0.19286966678840703,40.652158038701465



