Wall clock time taken
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,5,20,200,10000,1,22.5,22.5,20,1.0,128,5,True,False,1,False


Column names:
BindsNet (in sec),BindsNET_QA (in sec)

6.3587260246276855,2930.7266709804535
4.9746177196502686,2731.7879333496094
5.335829019546509,2681.7255697250366
5.163494825363159,2581.206862926483
4.861944913864136,2568.3657410144806
5.0171191692352295,2649.5011162757874
5.355113983154297,2691.5256633758545
6.024194002151489,2759.3943858146667
6.0213282108306885,2775.3096261024475
5.185214042663574,2683.4095969200134

Averages:
5.2605215311050415,2687.467630147934
Standard deviations:
0.49104159231908606,98.91139163086955



