Wall clock time taken
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,10,False

Seeds:,1599337541.926382,1599339555.6718779,1599341552.685809,1599343543.820796,1599345543.420504,1599347546.1987689,1599349545.912089,1599351544.189676,1599353556.072321,1599355562.684777


Column names:
BindsNet (in sec),BindsNET_QA (in sec),BindsNET_Bad_Zero (in sec),BindsNET_Bad_Ones (in sec)

50.5325870513916,1923.451870918274,15.709704875946045,24.050673961639404
41.63952112197876,1915.469021320343,15.795244693756104,24.108804941177368
41.35208988189697,1909.8313331604004,15.736655950546265,24.213327169418335
41.47014093399048,1917.96280503273,15.961010932922363,24.204490900039673
41.52847981452942,1921.359440088272,15.769926071166992,24.11915612220764
41.95929980278015,1917.8321409225464,15.727107048034668,24.193532943725586
41.59434700012207,1916.6315960884094,15.77506709098816,24.27524209022522
41.464860916137695,1930.2663867473602,15.821048021316528,24.328969955444336
41.56674289703369,1924.9778501987457,15.796327114105225,24.269949197769165
41.44360709190369,1915.205218076706,15.763089895248413,24.184627056121826

Averages:
41.547611355781555,1917.8974729776382,15.772496581077576,24.19901192188263
Standard deviations:
2.696960322798066,5.533003705039517,0.0668385487807114,0.08034399410103238



