Wall clock time taken
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,40,200,10000,1,11.25,22.5,20,1.0,128,5,True,False,1,False


Column names:
BindsNet (in sec),BindsNET_QA (in sec)

5.684596061706543,5127.8270308971405
4.793590068817139,5123.084333181381
4.799714088439941,5140.115791797638
4.823150873184204,5140.277590036392
4.803359031677246,5142.122591018677
4.813691854476929,5150.166337013245
4.810376882553101,5150.252695083618
4.82856011390686,5353.766669988632
5.406832933425903,5250.2088787555695
4.813971042633057,5171.955763101578

Averages:
4.813831448554993,5146.144464015961
Standard deviations:
0.30061470280524205,68.75776561835463



