Wall clock time taken
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,60.0,40,1.0,85.0,50,True,False,1,False

Seeds:,1600211608.2521238,1600212702.936675,1600213797.147752,1600214902.6830459,1600216009.267617,1600217113.829966,1600218222.337764,1600219336.25558,1600220453.0699189,1600221564.944457


Column names:
BindsNet (in sec),BindsNET_QA (in sec),BindsNET_Bad_Zero (in sec),BindsNET_Bad_Ones (in sec)

49.4327130317688,995.098023891449,20.30824613571167,29.84486699104309
49.45037603378296,993.765331029892,20.35163187980652,30.6423819065094
49.65105104446411,1004.6231110095978,20.55904483795166,30.700703144073486
49.55215907096863,1006.0430581569672,20.83294987678528,30.15442395210266
49.80327486991882,1003.7170798778534,20.392901182174683,30.646934986114502
49.541553020477295,1008.5016717910767,20.364778995513916,30.097480058670044
49.142021894454956,1013.9478089809418,20.34137225151062,30.485037088394165
49.823240995407104,1015.3690021038055,20.9205801486969,30.699771881103516
49.799440145492554,1010.7187850475311,20.873878002166748,30.480834007263184
49.560439109802246,1019.4947471618652,20.733368158340454,30.633538961410522

Averages:
49.55629909038544,1007.2723649740219,20.47597301006317,30.559288024902344
Standard deviations:
0.19874239612357375,7.902583424090485,0.23518183603600443,0.2852049054836962



