Wall clock time taken
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,50,1000,10000,0,22.5,60.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1598259547.389905,1598260309.398422,1598261058.2680142,1598261808.116072,1598262568.144728,1598263318.839505,1598264075.5539541,1598264864.432534,1598265628.568779,1598266397.329912,1598365161.512346,1598365953.8749561,1598366800.392494,1598367585.6302001,1598368358.691255,1598369131.288566,1598369898.369079,1598370648.938216,1598371396.467656,1598372152.496758,1598355290.591757,1598356140.1815848,1598356933.848664,1598357876.6765928,1598358758.6687622,1598359629.9761028,1598360413.168163,1598361181.754997,1598361951.067656,1598362715.902047,1598343845.521059,1598344603.0764759,1598345351.987019,1598346144.946704,1598347013.441374,1598347867.733012,1598348723.862895,1598349577.770698,1598350458.864432,1598351309.1181738,1598479898.6863518,1598480649.518423,1598481394.1555321,1598482152.478602,1598482897.998014,1598483654.1984682,1598484404.443916,1598485162.2648141,1598485925.779456,1598486685.306599,1598376403.7996821,1598377174.704174,1598377928.283846,1598378680.7833312,1598379446.557423,1598380212.910393,1598380979.602566,1598381785.7979488,1598382688.08141,1598383562.313229,1596975270.2181408,1596976110.161598,1596976982.30127,1596977897.793325,1596978791.416076,1596979660.582239,1596980516.009084,1596981374.6817029,1596982219.339654,1596983076.040925,1598397109.923758,1598397857.2928178,1598398609.398256,1598399375.06055,1598400148.40533,1598400915.5938299,1598401692.585599,1598402450.060568,1598403211.6831858,1598403966.724342,1598472158.902334,1598473030.9946399,1598473779.949276,1598474544.669729,1598475305.9741702,1598476066.1013162,1598476817.538465,1598477587.5513961,1598478364.681309,1598479125.9464839,1598389544.030685,1598390298.549248,1598391051.388036,1598391811.143905,1598392574.8313448,1598393322.1791842,1598394073.797746,1598394831.633007,1598395587.271668,1598396348.848475


Column names:
BindsNet (in sec),BindsNET_QA (in sec),BindsNET_Bad_Zero (in sec),BindsNET_Bad_Ones (in sec)

45.46818995475769,676.2468070983887,15.974020719528198,24.318593978881836
42.49952697753906,666.193470954895,15.87490701675415,24.300013780593872
42.42422819137573,667.1109189987183,15.987901210784912,24.323132038116455
44.18959379196167,675.4848291873932,15.87380313873291,24.478469133377075
42.249809980392456,668.2578818798065,15.851962804794312,24.333059072494507
42.54005694389343,673.8863890171051,15.84976601600647,24.43560481071472
42.10252594947815,705.1317939758301,16.019827365875244,25.622902870178223
43.7644259929657,679.8652160167694,16.135127067565918,24.369713068008423
42.517239809036255,685.6381962299347,16.22676682472229,24.377608060836792
43.065860986709595,679.2007088661194,16.115458011627197,24.3663809299469
44.37622117996216,707.1987431049347,16.08185911178589,24.704946756362915
42.06440806388855,760.8238232135773,18.177518129348755,25.449990034103394
44.76053810119629,696.7041690349579,16.247161149978638,27.524045944213867
42.724315881729126,689.6485550403595,16.28298807144165,24.40320110321045
43.27522397041321,686.1981978416443,17.003972053527832,26.11759901046753
45.30800795555115,681.9364433288574,15.690766096115112,24.142817974090576
40.6272177696228,670.5678942203522,15.639679908752441,23.732651948928833
40.64560890197754,667.5522317886353,15.631407976150513,23.6984760761261
40.582900047302246,676.2131969928741,15.5695219039917,23.662029027938843
40.105459213256836,674.1521239280701,15.741205930709839,23.641433000564575
45.93730616569519,743.3908619880676,26.416424989700317,33.844143867492676
57.38924598693848,694.6389830112457,16.587756872177124,25.04937982559204
44.51458787918091,849.336156129837,17.013751983642578,31.961535930633545
53.67318797111511,777.6687259674072,20.68680691719055,29.961228132247925
51.301934003829956,768.489727973938,24.304497957229614,27.206988096237183
48.16236329078674,693.0253708362579,16.618633031845093,25.38328790664673
43.516331911087036,683.3645238876343,16.53280806541443,25.171439170837402
43.590413093566895,684.2688226699829,16.46733021736145,24.984476804733276
42.97862792015076,680.3959429264069,16.63241481781006,24.82573914527893
43.04206323623657,671.2660148143768,16.427331686019897,25.06989812850952
47.3195481300354,671.0683028697968,15.45120882987976,23.715611934661865
40.55214595794678,665.549987077713,17.824667930603027,24.98215413093567
44.34231209754944,701.1545660495758,19.910274028778076,27.550626039505005
48.94157004356384,771.4730727672577,15.67944884300232,32.398650884628296
51.263185024261475,758.6873359680176,17.705123901367188,26.633695363998413
49.52536106109619,759.8912918567657,18.891107082366943,27.819828033447266
46.559016942977905,761.2763311862946,18.24417471885681,27.826660871505737
57.01480293273926,775.3275351524353,18.569721937179565,30.179859161376953
47.39326000213623,759.4081892967224,18.412983894348145,25.037562131881714
42.748475074768066,712.256422996521,44.908276081085205,26.665174961090088
41.34594511985779,669.8378291130066,15.58530879020691,24.062099933624268
41.39976716041565,663.7490971088409,15.660959959030151,23.825784921646118
41.71225905418396,677.5757641792297,15.612400770187378,23.420832633972168
41.36449408531189,664.9626109600067,15.595904111862183,23.59439182281494
41.42660307884216,675.3275611400604,15.619919776916504,23.824185848236084
