Wall clock time taken
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,120.0,40,1.0,170.0,50,True,False,1,False

Seeds:,1597841883.8237922,1597843350.39095,1597844768.532127,1597846184.816334,1597847676.9964008,1597849239.464092,1597850832.158237,1597854723.4247522,1597856212.336044,1597857711.833668


Column names:
BindsNet (in sec),BindsNET_QA (in sec),BindsNET_Bad_Zero (in sec),BindsNET_Bad_Ones (in sec)

50.42080569267273,1350.3294699192047,24.51903486251831,41.29691290855408
50.70585227012634,1318.3031589984894,19.886865854263306,29.243921041488647
47.89298892021179,1312.2829942703247,20.34225296974182,35.76453709602356
55.840425968170166,1372.8908641338348,22.662260055541992,40.78373908996582
65.55907201766968,1439.394693851471,22.249635934829712,35.26055312156677
54.72611904144287,1485.7514297962189,21.483601093292236,30.7303466796875
56.15676474571228,3783.2480189800262,20.86623978614807,30.994038105010986
52.32964205741882,1385.199602842331,19.82874298095703,31.55168890953064
48.1589150428772,1399.7281029224396,20.263619899749756,31.345549821853638
50.82850193977356,1393.6511058807373,22.054941177368164,30.76458191871643

Averages:
51.57907199859619,1389.4253543615341,21.174920439720154,31.44861936569214
Standard deviations:
4.9462592391022335,721.422017051792,1.4117555828878332,4.114717490021716



