Wall clock time taken
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1598042296.696237,1598043664.986909,1598045033.936411,1598046418.5223548,1598047791.275282,1598049160.7012029,1598050553.494433,1598051934.5109901,1598053307.985292,1598054688.093656


Column names:
BindsNet (in sec),BindsNET_QA (in sec),BindsNET_Bad_Zero (in sec),BindsNET_Bad_Ones (in sec)

57.05542230606079,1262.7959990501404,19.527263879776,28.91104483604431
49.157724142074585,1271.7043550014496,19.4024760723114,28.68354105949402
47.527541160583496,1288.8966209888458,19.576885223388672,28.58355474472046
47.501797914505005,1277.1193580627441,19.536388158798218,28.59340500831604
48.55990386009216,1272.8267829418182,19.573132753372192,28.463967084884644
47.59899711608887,1296.743273973465,19.53606867790222,28.912512063980103
48.22650218009949,1284.7419738769531,19.39558696746826,28.65112280845642
48.39528799057007,1277.1367700099945,19.3831889629364,28.557324171066284
48.673518896102905,1282.4346420764923,19.71864414215088,29.279935121536255
48.51703691482544,1287.3193700313568,19.31119704246521,29.37182116508484

Averages:
48.456162452697754,1279.7857060432434,19.53166627883911,28.66733193397522
Standard deviations:
2.695189190777895,9.348396223680972,0.11488443048780189,0.2965412510714708



