0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19

18.0,20.0,14.0,14.0,6.0,14.0,4.0,4.0,4.0,8.0,6.0,12.0,8.0,10.0,14.0,8.0,4.0,10.0,12.0,2.0
10.0,12.0,2.0,10.0,8.0,14.0,12.0,8.0,22.0,8.0,10.0,12.0,16.0,18.0,6.0,6.0,18.0,12.0,10.0,8.0
6.0,6.0,12.0,18.0,12.0,10.0,12.0,6.0,10.0,10.0,6.0,14.0,12.0,16.0,10.0,20.0,14.0,12.0,6.0,12.0
8.0,14.0,14.0,4.0,22.0,16.0,8.0,6.0,14.0,18.0,6.0,12.0,10.0,10.0,18.0,2.0,6.0,22.0,12.0,2.0
8.0,8.0,12.0,16.0,8.0,10.0,4.0,16.0,6.0,8.0,14.0,8.0,12.0,12.0,6.0,16.0,14.0,6.0,6.0,6.0
10.0,10.0,12.0,8.0,8.0,10.0,12.0,8.0,14.0,8.0,6.0,10.0,14.0,12.0,6.0,10.0,12.0,14.0,4.0,4.0
10.0,10.0,8.0,10.0,14.0,10.0,8.0,14.0,6.0,12.0,4.0,2.0,8.0,8.0,6.0,12.0,10.0,12.0,14.0,14.0

Averages:
10.3,10.02,9.36,9.94,10.16,10.42,9.86,10.28,10.28,10.62,9.56,10.8,10.0,9.82,10.88,10.24,10.76,10.04,10.02,9.42
Standard deviations:
4.274342054632502,4.521017584570977,3.98878427594173,3.9542888108988707,4.305159695063589,4.091894426790604,3.972455160225223,4.363668181702179,4.020149250960714,4.738734008150276,4.3042304771004085,4.223742416388575,4.049691346263317,4.128873938497034,4.3664172956784615,4.580654975000845,4.370629245314683,4.630161984207466,4.340460805029806,4.111398788733586



