Wall clock time taken
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,20,200,10000,1,11.25,22.5,20,1.0,128,5,True,False,1,False


Column names:
BindsNet (in sec),BindsNET_QA (in sec)

5.551539897918701,2550.756625890732
4.680263042449951,2629.6703102588654
4.960753917694092,2624.9103071689606
4.86061692237854,2551.8402891159058
4.8883140087127686,2592.0638949871063
5.0014190673828125,2626.778683900833
5.529095888137817,2803.66521692276
5.927944183349609,2684.982087135315
5.566823244094849,2697.107609987259
6.34321928024292,2818.8376970291138

Averages:
5.330998945236206,2658.061272239685
Standard deviations:
0.5109616547618422,89.07041370177602



