Wall clock time taken
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,20,100,10000,1,22.5,11.25,20,1.0,128,5,True,False,1,False


Column names:
BindsNet (in sec),BindsNET_QA (in sec)

2.746941089630127,1285.377212047577
2.390084743499756,1285.2392778396606
2.4238221645355225,1292.4063580036163
2.4190690517425537,1286.4933030605316
2.4072649478912354,1285.2570097446442
2.4725019931793213,1290.0374200344086
2.420508861541748,1813.4751710891724
2.584528923034668,1296.6088671684265
2.398591995239258,1286.268444776535
2.386096239089966,1289.326383113861

Averages:
2.4649410009384156,1341.0489446878432
Standard deviations:
0.10917892313979362,157.51475552524838



