Wall clock time taken
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,20,100,10000,1,22.5,22.5,10,1.0,128,5,True,False,1,False


Column names:
BindsNet (in sec),BindsNET_QA (in sec)

1.4120337963104248,647.5890381336212
1.374734878540039,661.8179020881653
1.403182029724121,675.3793940544128
1.582932949066162,684.6664383411407
1.428678035736084,686.3324680328369
1.6705150604248047,686.2308859825134
1.5998830795288086,657.2263951301575
1.3733232021331787,646.2917220592499
1.3648288249969482,647.0575461387634
1.361868143081665,647.7389829158783

Averages:
1.4571979999542237,664.0330772876739
Standard deviations:
0.1090405385787326,16.536463444085577



