Qb_solv_energies
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,20,100,10000,1,22.5,22.5,10,1.0,128,5,True,False,1,False


Column names:
0,1,2,3,4,5,6,7,8,9


-0.0,-0.0,-9.996071755886078,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-10.023023664951324,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-11.151481207460165,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-10.812622936442494,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-10.099299237132072,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-27.43435839191079
-0.0,-0.0,-9.974969923496246,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-10.544522680342197,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-9.885649554431438,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-9.938710425049067,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-28.32649832298921
-0.0,-0.0,-10.21741383522749,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-28.214042825624347
-0.0,-0.0,-9.961290024220943,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-10.010261685587466,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-10.49913427233696,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-10.490437790751457,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-10.012237548828125,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-27.01851240452379
-0.0,-0.0,-10.74562993273139,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-28.18035947997123
-0.0,-0.0,-9.858840942382812,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-10.065295822918415,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-10.273123193532228,-451.0,-0.0,-13.612274169921875,-451.0,-0.0,-0.0,-30.05266932398081
-0.0,-0.0,-10.07542372494936,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-10.26602017879486,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-10.217840809375048,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-9.858840942382812,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
-0.0,-0.0,-10.088673129677773,-451.0,-0.0,-0.0,-32.91364288330078,-451.0,-0.0,-0.0
