Wall clock time taken
Parameters:,runs,seed,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,0,40,200,10000,1,22.5,45.0,20,1.0,128,5,True,False,1,False


Column names:
BindsNet (in sec),BindsNET_QA (in sec)

5.673250913619995,5061.8493411540985
4.762826919555664,5057.579227209091
4.773783206939697,5062.6625010967255
4.825027942657471,5054.688062906265
4.810598850250244,5072.573968172073
4.819972991943359,5058.919220924377
4.83404803276062,5116.704870939255
6.006054878234863,5289.017197847366
6.437260866165161,5362.651618242264
5.244188070297241,5146.702392816544

Averages:
4.829537987709045,5067.618234634399
Standard deviations:
0.5784738785674582,104.06103066769727



