Wall clock time taken
Parameters:,runs,n_neurons,n_train,n_test,n_clamp,exc,inh,time,dt,intensity,update_interval,train,plot,num_repeats,gpu
,10,100,1000,10000,0,22.5,22.5,40,1.0,170.0,50,True,False,1,False

Seeds:,1597996594.7705119,1597998110.352591,1597999526.682836,1598001093.420615,1598002622.8821068,1598004097.2355862,1598005576.602544,1598007086.0410979,1598008490.194112,1598009873.1148129,1598056078.580425,1598057443.987913,1598058810.260129,1598060198.960937,1598061577.2636611,1598062965.9798899,1598064351.448129,1598065741.880252,1598067132.4809039,1598068533.2173061,1598042296.696237,1598043664.986909,1598045033.936411,1598046418.5223548,1598047791.275282,1598049160.7012029,1598050553.494433,1598051934.5109901,1598053307.985292,1598054688.093656,1598012613.745953,1598014160.0429912,1598015617.4091132,1598017091.038626,1598018568.074684,1598020038.8747241,1598021504.362224,1598022975.2313228,1598024435.794571,1598025891.724749,1598228067.385188,1598229423.795959,1598230772.246001,1598232138.232736,1598233498.3122509,1598234862.204732,1598236226.05352,1598237597.5767438,1598238974.465873,1598240344.9994721,1598131491.870452,1598132900.614965,1598134278.1695309,1598135656.454862,1598137031.809145,1598138421.207353,1598139812.5882418,1598141215.805611,1598142600.197866,1598143993.95605,1597352588.665343,1597354019.765756,1597355413.330558,1597356809.731219,1597358198.129313,1597359585.190665,1597360962.948307,1597362357.1831748,1597363760.121634,1597365158.777219,1598169174.678686,1598170535.836546,1598171894.008106,1598173268.362989,1598174653.0374641,1598176041.662199,1598177440.903667,1598178866.417208,1598180443.901997,1598181947.365677,1598214231.610625,1598215679.4565172,1598217036.343799,1598218390.2274969,1598219762.7177632,1598221138.5193431,1598222526.683255,1598223910.967196,1598225300.310188,1598226678.2439208,1598145408.592005,1598146770.9870842,1598148144.837265,1598149505.9502358,1598150882.8480499,1598152247.558862,1598153631.943965,1598154997.951686,1598156373.950407,1598157765.3590322


Column names:
BindsNet (in sec),BindsNET_QA (in sec),BindsNET_Bad_Zero (in sec),BindsNET_Bad_Ones (in sec)

53.425923109054565,1402.0221338272095,27.021728038787842,33.111422300338745
50.733436822891235,1315.4076509475708,20.376626014709473,29.811116933822632
49.86474084854126,1450.5746166706085,26.25962805747986,40.03717112541199
64.1356189250946,1411.803014755249,22.018405199050903,31.50203275680542
54.63051509857178,1363.3505790233612,23.267285108566284,33.10187387466431
54.07299876213074,1370.6745917797089,21.6253182888031,32.991079330444336
54.27188682556152,1401.9064667224884,22.046231746673584,31.212230920791626
53.51813101768494,1301.6438817977905,19.518133640289307,29.47104001045227
49.320847034454346,1284.4031291007996,19.799845933914185,29.395474195480347
49.506701707839966,1299.4436559677124,20.02495312690735,29.415879249572754
47.895583152770996,1271.1089100837708,18.865556955337524,27.536661863327026
47.309921979904175,1271.6896147727966,19.072513103485107,28.19864583015442
47.145493030548096,1294.2715470790863,18.947165966033936,28.335134983062744
48.053722858428955,1282.798527956009,18.977314233779907,28.4710750579834
47.703819036483765,1294.6052100658417,18.833308935165405,27.571537733078003
46.884517192840576,1290.5706088542938,19.34329104423523,28.66723084449768
48.40516996383667,1295.0228259563446,19.25385594367981,27.74873399734497
47.755823850631714,1295.957321882248,18.930728912353516,27.955063819885254
46.84699201583862,1306.8595869541168,18.923240900039673,28.105056047439575
47.19411897659302,1310.8543629646301,19.010284185409546,28.163393020629883
57.05542230606079,1262.7959990501404,19.527263879776,28.91104483604431
49.157724142074585,1271.7043550014496,19.4024760723114,28.68354105949402
47.527541160583496,1288.8966209888458,19.576885223388672,28.58355474472046
47.501797914505005,1277.1193580627441,19.536388158798218,28.59340500831604
48.55990386009216,1272.8267829418182,19.573132753372192,28.463967084884644
47.59899711608887,1296.743273973465,19.53606867790222,28.912512063980103
48.22650218009949,1284.7419738769531,19.39558696746826,28.65112280845642
48.39528799057007,1277.1367700099945,19.3831889629364,28.557324171066284
48.673518896102905,1282.4346420764923,19.71864414215088,29.279935121536255
48.51703691482544,1287.3193700313568,19.31119704246521,29.37182116508484
53.89797616004944,1442.135293006897,20.679598093032837,29.583343982696533
50.935080766677856,1348.0255000591278,23.11904001235962,35.28481602668762
53.25691509246826,1362.424819946289,23.33807396888733,34.60810971260071
54.63491606712341,1369.404088973999,21.616849184036255,31.377999782562256
52.404284954071045,1362.2634439468384,22.783503770828247,33.345279932022095
53.45386290550232,1357.887849330902,22.74937391281128,31.393485069274902
52.64841175079346,1362.9788239002228,22.873694896697998,32.36654472351074
51.22659373283386,1355.470384836197,21.098416805267334,32.765018939971924
54.05321907997131,1348.7986769676208,21.909823894500732,31.16685914993286
55.101813077926636,1348.6036489009857,21.933896780014038,32.406073808670044
45.82406830787659,1264.0769839286804,19.117519855499268,27.391419887542725
46.50317072868347,1255.2035200595856,18.99674129486084,27.745267868041992
46.32014489173889,1272.594556093216,19.05049705505371,28.020124912261963
46.472723960876465,1267.0804517269135,18.85464882850647,27.669740676879883
46.682377338409424,1270.3900339603424,18.896788120269775,27.92105484008789
46.39207100868225,1269.5851080417633,19.55721378326416,28.31163001060486
47.01569104194641,1277.6406409740448,18.99451208114624,27.870911121368408
46.33978891372681,1283.3489730358124,19.122736930847168,28.075895071029663
46.381438970565796,1277.395912885666,19.14155101776123,27.613289833068848
46.81742215156555,1293.1168489456177,19.08945107460022,27.690418243408203
58.70574378967285,1302.0337798595428,19.36628818511963,28.637907028198242
48.98326778411865,1280.4520568847656,19.500123977661133,28.61777114868164
48.862189054489136,1280.8573529720306,19.60945987701416,28.95489001274109
49.0876829624176,1278.0317890644073,19.58797526359558,28.644886016845703
